127.0.0.1 - - [31/Dec/2024:18:26:07 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [31/Dec/2024:18:26:08 +0530] "GET /Form/ HTTP/1.1" 200 349
0:0:0:0:0:0:0:1 - - [31/Dec/2024:18:26:19 +0530] "GET /Form/reg?userName=Sudarshan&phno=741852963 HTTP/1.1" 200 45
0:0:0:0:0:0:0:1 - - [31/Dec/2024:18:26:44 +0530] "GET /Form/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Dec/2024:18:26:44 +0530] "GET /Form/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Dec/2024:18:26:44 +0530] "GET /Form/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Dec/2024:18:26:44 +0530] "GET /Form/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Dec/2024:18:26:47 +0530] "GET /Form/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Dec/2024:18:26:48 +0530] "GET /Form/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Dec/2024:18:26:48 +0530] "GET /Form/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Dec/2024:18:26:48 +0530] "GET /Form/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Dec/2024:18:26:50 +0530] "GET /Form/reg?userName=Sudarshan&phno=741852963 HTTP/1.1" 200 49
0:0:0:0:0:0:0:1 - - [31/Dec/2024:18:27:02 +0530] "GET /Form/reg?userName=Sudarshan&phno=741852963 HTTP/1.1" 200 49
0:0:0:0:0:0:0:1 - - [31/Dec/2024:18:27:05 +0530] "GET /Form/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Dec/2024:18:27:05 +0530] "GET /Form/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Dec/2024:18:27:05 +0530] "GET /Form/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Dec/2024:18:27:05 +0530] "GET /Form/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Dec/2024:18:27:06 +0530] "GET /Form/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Dec/2024:18:27:06 +0530] "GET /Form/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Dec/2024:18:27:07 +0530] "GET /Form/reg?userName=Sudarshan&phno=741852963 HTTP/1.1" 200 51
